ecoregion,site_code,bin_mid,norm_density,lat,lon
Lord Howe and Norfolk Islands,EMR8,218.509667991878,0.00106694173824159,-29.44563,159.09369
Central and Southern Great Barrier Reef,GBR24,218.509667991878,0.00168043323773051,-19.81261,149.13292
Central and Southern Great Barrier Reef,GBR27,218.509667991878,0.00493460553936736,-19.79517,149.07878
Central and Southern Great Barrier Reef,GBR76,218.509667991878,0.0012069778413858,-19.80832,149.06582
Cape Howe,JBMP25,218.509667991878,0.000453450238752676,-35.06756,150.68239
Cape Howe,JBMP6,218.509667991878,0.00198051060161095,-35.13676,150.76428
Cape Howe,KG-S13,218.509667991878,0.000846885004729263,-39.44477844,147.3012238
Cape Howe,KG-S15,218.509667991878,0.000960247564417432,-39.49295044,147.3421478
Cape Howe,KG-S4,218.509667991878,0.00161374937909041,-39.46456909,147.2946625
Bassian,NIN-S1,218.509667991878,0.000313414135608467,-43.27292,147.14343
Bassian,NIN-S2,218.509667991878,0.00141369780317011,-43.29383,147.14182
Cape Howe,NSW47,218.509667991878,0.000520134097392776,-37.10968,149.92238
Cape Howe,NSW5,218.509667991878,0.000273403820424408,-37.10036,149.9285
Manning-Hawkesbury,PS13,218.509667991878,0.000584547867228106,-32.71802,152.14133
Manning-Hawkesbury,PS17,218.509667991878,0.00306962021718425,-32.714463,152.15183
Torres Strait Northern Great Barrier Reef,QLD43,218.509667991878,0.00376763801316562,-14.69473,145.45921
Torres Strait Northern Great Barrier Reef,QLD44,218.509667991878,0.000564590003152842,-14.68942,145.46617
Torres Strait Northern Great Barrier Reef,QLD48,218.509667991878,0.00134701394453001,-14.68689,145.44195
Torres Strait Northern Great Barrier Reef,QLD51,218.509667991878,0.00108916969112162,-14.65706,145.45076
Tweed-Moreton,SI21,218.509667991878,0.00480123782208716,-30.00751,153.27028
Tweed-Moreton,SI29,218.509667991878,0.0141903251186132,-29.98321,153.2278
Tweed-Moreton,SI6,218.509667991878,0.00123183273415165,-30.01765,153.2692
Manning-Hawkesbury,SYD1,218.509667991878,0.000133367717280199,-33.85186,151.21997
Manning-Hawkesbury,SYD3,218.509667991878,0.000306745749744457,-33.86328,151.24196
Manning-Hawkesbury,SYD30,218.509667991878,0.000366761222520547,-33.841655,151.253968
Manning-Hawkesbury,SYD31,218.509667991878,0.000687584675755692,-33.840111,151.277492
Manning-Hawkesbury,SYD37,218.509667991878,0.00119620583345163,-33.83036,151.26378
Manning-Hawkesbury,SYD6,218.509667991878,0.000133367717280199,-33.85595,151.26602
Manning-Hawkesbury,SYD9,218.509667991878,0.000426776695296636,-33.852053,151.263956
Bassian,TAS26,218.509667991878,8.00206303681193e-05,-43.14242,147.29123
Bassian,TAS43,218.509667991878,0.000613491499488915,-43.08944,147.30101
Bassian,TAS84,218.509667991878,0.0102026303719352,-41.87563,148.31159
Bassian,TAS88,218.509667991878,0.000213388347648318,-41.87094,148.31732
Cape Howe,BS-S8,309.019335983757,0.000139100195488293,-39.21514893,146.9923859
Bassian,DE4,309.019335983757,3.77220869120796e-05,-42.90611,147.3447
Bassian,DE46,309.019335983757,1.88610434560398e-05,-42.861017,147.3501
Bassian,DE7,309.019335983757,9.43052172801989e-05,-43.01334,147.33089
Lord Howe and Norfolk Islands,EMR1,309.019335983757,0.000311207217024656,-29.45103,159.06227
Lord Howe and Norfolk Islands,EMR18,309.019335983757,0.000438519260352925,-29.92554,159.0511
